Product Name,Manufacturer,Category / Use,Signal Word,GHS Hazard Codes,Precautionary (P) Codes,DOT / UN,Appearance / Odor,pH,Specific Gravity,Flash Point,Boiling Point,Solubility,Dilution,Coverage (sq ft/gal),Spec File,Notes,SDS File
ABF Restoration,"EaCo Chem, Inc.",Ammonium bifluoride restoration detergent; non-HF; removes black stains on glazed brick/terra cotta,DANGER,H290; H302; H314; H373,P234; P260; P264; P270; P273; P280; P301; P303; P304; P305; P310; P312; P330; P331; P338; P340; P351; P353; P361; P363; P390; P406; P501,,Strong Scent,1,1.1,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,1â€“10:1 for restoration; 8â€“20:1 for lane/sidewalk cleaning without heavy oil; use caution undiluted,,,FR SDS available.,SDS/Eacochem/SDS-ABF-RESTORATION_FR.pdf
PURPLE PLUS BC Page: 2 of 8 Issued :4/17/2025 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.",,DANGER,H301; H315; H319,P260; P262; P264; P270; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P376; P391; P404; P501,UN1760,Mild odor,1,1.09,N o data available,> 100 Â°C (> 212 Â°F),Complete,,,,FR SDS available.,SDS/Eacochem/SDS_AP_PLUS_BC.pdf
ART,"EaCo Chem, Inc.",,DANGER,H304; H305; H332; H335,P202; P261; P270; P271; P301; P304; P314; P330; P331; P501,,,,,,,,,,,FR SDS available.,SDS/Eacochem/SDS-ART_FR.pdf
Acrylicstrip,"EaCo Chem, Inc.","Solvent-based sealer/paint/coating remover; strips acrylics, latexes, polyurethane",,,,,,,,,,,Undiluted,,,,SDS/Eacochem/SDS-ACRYLICSTRIP_FR.pdf
Alkaline Stone Cleaner,"EaCo Chem, Inc.",,DANGER,H303; H316; H320,P202; P264; P270; P273; P280; P305; P314; P315; P338; P352; P363; P501,UN1760,Fresh Scent,13,1.03,No data available,and boiling range: Not applicable,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS-Alkaline-Stone-Cleaner-1.pdf
Bleach Magic Page: 2 of 7 Issued: 4/29/2025 Version: 1.0,"EaCo Chem, Inc.",,WARNING,H316; H320,P202; P264; P270; P273; P280; P302; P305; P313; P314; P315; P332; P338; P350; P352; P501,,Mild Scent,11,1.08,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS-Bleach-Magic-2025.pdf
C TAR MELT,"EaCo Chem, Inc.",,DANGER,H227; H302; H305; H312; H315; H319; H332; H335; H402,P261; P264; P270; P271; P280; P301; P303; P304; P305; P314; P315; P330; P331; P338; P340; P352; P362; P363,,,7,,,,,,,,FR SDS available.,SDS/Eacochem/SDS_C-TAR_MELT_FR.pdf
Calcite Presoak,"EaCo Chem, Inc.",Pre-soak to facilitate calcite removal on clay brick (use with NMD 80),DANGER,H302; H319,P264; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P352; P361; P390; P406; P501,UN1760,,1,,,,,Undiluted,,,FR SDS available.,SDS/Eacochem/SDS-CALCITE-PRESOAK_FR.pdf
Calcium Silicate Cleaner,"EaCo Chem, Inc.",Buffered detergent for cleaning calcium silicate masonry (Arriscraft),DANGER,H314; H318; H335,P234; P261; P264; P271; P280; P285; P301; P303; P304; P305; P310; P312; P321; P330; P331; P338; P340; P351; P353; P361; P363; P390; P391; P406,UN1760,,,,,,,4:1 (water:CSC) via EC Jet,100â€“200,,FR SDS available.,SDS/Eacochem/SDS_Calcium_Silicate_Cleaner_FR.pdf
Calcium Silicate Cleaner Page: 2 of 8 Issued: 4/17/2025 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.",Buffered detergent for cleaning calcium silicate masonry (Arriscraft),DANGER,H290; H303; H314; H318; H335,P202; P234; P260; P261; P264; P271; P273; P280; P285; P301; P303; P304; P305; P310; P312; P321; P330; P331; P338; P340; P351; P353; P361; P363; P390; P391; P406; P501,UN1760,Strong Scent,,1.075,No data available,and  boiling range : > 100 Â°C (> 21 0 Â°F) - lit.,Fully Miscible,4:1 (water:CSC) via EC Jet,100â€“200,SDS/Eacochem/Calcium-Silicate-Cleaner-new-data-sheet_2025.pdf,FR SDS available.,SDS/Eacochem/SDS-Calcium-Silicate-Cleaner-2023.pdf
Cleansol BC Page: 2 of 8 Issued: 4/17/25 Version: 3.1,"EaCo Chem, Inc.",Brushless oxidation & soil remover (allâ€‘purpose alkaline cleaner); exterior surfaces,DANGER,H290; H302; H305; H314; H318; H319; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P390; P501,UN1760,Mild citrus odor,13.5,1.09,N o data available,> 100 Â°C (> 212 Â°F),Complete,"Preâ€‘dilute 4:1 (water:product) to RTU base, then: 10:1 difficult, 20:1 light; undiluted for gutters/downspouts",100â€“250,,FR SDS available.,SDS/Eacochem/SDS_CLEANSOL_BC.pdf
C-TAR MELT Page: 2 of 7 Issued: 4/17/2025 Version: 2 .1 Hazard Statement s,"EaCo Chem, Inc.",,,,,,,,,,,,,,,,SDS/Eacochem/SDS_CTARMELT.pdf
CT WASH Page: 2 of 8 Issued : 4/17/2025 Version: 2.1,"EaCo Chem, Inc.",,DANGER,H290; H303; H314; H318; H335,P202; P234; P260; P261; P264; P271; P273; P280; P285; P301; P303; P304; P305; P310; P312; P321; P330; P331; P338; P340; P351; P353; P361; P363; P390; P391; P406; P501,UN1760,Strong Scent,1,1.15,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_CTWASH.pdf
DAZZLE BC Page: 2 of 8 Issued: 4/17/25 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.",Oneâ€‘step brushless truck wash; safe for polished aluminum; indoorâ€‘safe surfactant blend,,,,,,,,,,,"Preâ€‘dilute 4:1 to RTU base, then 10:1 difficult; 20:1 routine cleaning",,,,SDS/Eacochem/SDS_DAZZLE_BC.pdf
EC 101 WB Page: 2 of 7 Issued: 1/21/2021 Version: 1 Hazard Statement,"EaCo Chem, Inc.",,WARNING,H316; H320,P202; P264; P270; P273; P280; P305; P314; P315; P338; P352; P363; P501,,Slight,,1,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_EC_101_WB.pdf
EC102 SOL Page: 1 of 7 Issued: 10/1/17 Version: 1 SAFETY DATA SHEET,"EaCo Chem, Inc.",,DANGER,H227; H304; H315; H319,P210; P235; P280; P301; P310; P331; P370; P378; P403; P405; P501,UN1993,solvent,,0.76,> 150 Â° F,212Â° F,Nil,,,,FR SDS available.,SDS/Eacochem/SDS_EC_102_SOL.pdf
EF-FORTLESS Page: 2 of 7 Issued: 4/17/2025 Version: 2.1,"EaCo Chem, Inc.",,WARNING,H315; H319,P202; P264; P270; P273; P280; P303; P305; P314; P315; P338; P352; P362; P363; P501,,Mild odor,2,1.08,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_EF-FORTLESS.pdf
EF Fortless French,"EaCo Chem, Inc.",,DANGER,H315; H319,P202; P264; P270; P273; P280; P303; P305; P314; P315; P338; P352; P362; P363; P501,,,2,,,,,,,,FR SDS available.,SDS/Eacochem/SDS-EF-FORTLESS-French.pdf
Glory Truckwash BC Page: 2 of 8 Issued: 4/17/25 Version: 3.1,"EaCo Chem, Inc.",,DANGER,H290; H302; H305; H314; H318; H319; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P390; P501,UN1760,Mild citrus odor,13.5,1.09,N o data available,> 100 Â°C (> 212 Â°F),Complete,,,,FR SDS available.,SDS/Eacochem/SDS_GLORY_TW_BC.pdf
Graf-Ex Page: 1 of 8 Issued: 4/17/2025 Version: 2.1 SAFETY DATA SHEET,"EaCo Chem, Inc.",,WARNING,H227; H302; H305; H312; H315; H319; H333; H335; H350; H360; H373; H402,P202; P210; P221; P261; P264; P270; P271; P273; P280; P284; P301; P303; P304; P305; P308; P310; P313; P314; P315; P330; P331; P338; P340; P352; P362; P363; P370; P378; P501,,solvent,7.5,0.9,> 120 Â°F,> 212 Â°F,Forms a milky while emulsion,,,,FR SDS available.,SDS/Eacochem/SDS_GRAFX.pdf
HD Britenol Page: 2 of 7 Issued: 4/17/2025 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.","Allâ€‘purpose mildâ€‘acid cleaner for masonry, stone, siding; safe on glass when used as directed",WARNING,H290; H302; H315; H319; H335; H402,P202; P233; P234; P264; P270; P273; P280; P301; P303; P304; P305; P314; P315; P330; P331; P338; P340; P352; P362; P363; P501,,Pleasant  Scent,,1.09,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,4:1 asphalt shingles; undilutedâ€“15:1 for aggressive staining; 20â€“60:1 for maintenance,,,FR SDS available.,SDS/Eacochem/SDS_HD_BRITENOL.pdf
HD DEGREASER Page: 2 of 8 Issued: 4/17/2025 Version: 2.1,"EaCo Chem, Inc.",,DANGER,H290; H302; H305; H314; H318; H319; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P390; P501,UN1760,Mild citrus odor,13.5,1.05,N o data available,> 100 Â°C (> 212 Â°F),Complete,,,,FR SDS available.,SDS/Eacochem/SDS_HD_DEGREASER.pdf
HD Sabre Page: 2 of 7 Issued: 4/17/2025 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.",,WARNING,H290; H302; H315; H319; H335; H402,P202; P233; P234; P264; P270; P273; P280; P301; P303; P304; P305; P314; P315; P330; P331; P338; P340; P352; P362; P363; P501,,Pleasant  Scent,,1.09,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_HD_SABRE.pdf
Heritage Restorer (Adv.) Page: 2 of 7 Issued: 4/17/2025 Version: 3.15 Hazard Statements,"EaCo Chem, Inc.",,WARNING,H290; H315; H320,P233; P234; P262; P264; P270; P280; P303; P305; P313; P315; P332; P337; P352; P353; P361; P363,,Pleasant Scent,,1.18,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_HERITAGE_RESTORER.pdf
HOT STAIN REMOVER Page: 2 of 8 Issued: 4/17/2025 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.",,DANGER,H290; H302; H305; H314; H318; H319; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P376; P390; P391; P404; P501,UN1760,Mild odor,13.5,1.12,N o data available,> 100 Â°C (> 212 Â°F),Complete,,,,FR SDS available.,SDS/Eacochem/SDS_HOTSTAINREMOVER.pdf
InStrip Page: 1 of 7 Issued: 4/17/2025 Version: 2.1 SAFETY DATA SHEET,"EaCo Chem, Inc.",,WARNING,H227; H315; H319; H335; H360,P202; P233; P235; P251; P261; P263; P264; P270; P271; P273; P280; P301; P302; P304; P305; P314; P315; P330; P331; P338; P340; P351; P352; P363; P403; P501,,mild,7.5,1.03,> 150 F,,Slight,,,,FR SDS available.,SDS/Eacochem/SDS_INSTRIP.pdf
LCS Page: 2 of 8 Issued: 4/17/25 Version: 2.1 Hazard Statement s,"EaCo Chem, Inc.",,DANGER,H290; H302; H305; H314; H318; H319; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P376; P390; P391; P404; P501,UN1760,Mild odor,13.5,1.13,N o data available,> 100 Â°C (> 212 Â°F),Complete,,,,FR SDS available.,SDS/Eacochem/SDS_LCS.pdf
NMD 80 French,"EaCo Chem, Inc.",,DANGER,H290; H303; H314; H318; H335,P202; P234; P260; P261; P264; P271; P273; P280; P285; P301; P303; P304; P305; P310; P312; P321; P330; P331; P338; P340; P351; P353; P361; P363; P390; P391; P406; P501,,,1,,,,,,,,FR SDS available.,SDS/Eacochem/SDS-NMD-80-French.pdf
NMD80 Page: 2 of 8 Issued: 4/17/2025 Version: 2.1,"EaCo Chem, Inc.",,DANGER,H290; H303; H314; H318; H335,P202; P234; P260; P261; P264; P271; P273; P280; P285; P301; P303; P304; P305; P310; P312; P321; P330; P331; P338; P340; P351; P353; P361; P363; P390; P391; P406; P501,UN1760,Strong Scent,1,1.15,No data available,and  boiling range : > 100 Â°C (> 21 0 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_NMD80.pdf
ONERESTORE Page: 2 of 7 Issued: 4/17/2025 Version: 3.1 Hazard Statement s,"EaCo Chem, Inc.",,WARNING,H290; H302; H315; H319; H335; H402,P202; P233; P234; P264; P270; P273; P280; P301; P303; P304; P305; P314; P315; P330; P331; P338; P340; P352; P362; P363; P501,,Pleasant  Scent,,1.117,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_ONERESTORE.pdf
Plus Page: 2 of 6 Issued: 4/17/2025 Version: 2.1 In case of skin contact,"EaCo Chem, Inc.",,,,,,Mild Odor,12,1.09,N o data available,No data available,Complete,,,,FR SDS available.,SDS/Eacochem/SDS_PLUS.pdf
Polished Stone Cleaner Page: 2 of 7 Issued: 4/17/2025 Version: 2.1 Hazard Statement,"EaCo Chem, Inc.",,WARNING,H316; H320,P202; P264; P270; P273; P280; P305; P314; P315; P338; P352; P363; P501,,Fresh Scent,7.8,1.13,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_POLISHEDSTONECLEANER.pdf
RS-10 BC Page: 2 of 7 Issued: 4/17/2025 Version: 2.1 Hazard Statement,"EaCo Chem, Inc.",,WARNING,H316; H320,P202; P264; P270; P273; P280; P305; P314; P315; P338; P352; P363; P501,,Fresh Scent,10.5,1.13,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_RS10BC.pdf
SOS 50 French,"EaCo Chem, Inc.",,DANGER,H290; H315; H320,P233; P234; P262; P264; P270; P280; P303; P305; P313; P315; P332; P337; P352; P353; P361; P363,,,,,,,,,,,FR SDS available.,SDS/Eacochem/SDS-SOS-50-French.pdf
Sabre II Page: 1 of 7 Issued: 4/18/2025 Version: 3.15,"EaCo Chem, Inc.",,WARNING,H290; H315; H320,P233; P234; P262; P264; P270; P280; P303; P305; P313; P315; P332; P337; P352; P353; P361; P363,,Mild,,1.18,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_SABRE_2.pdf
Sizzle RTU Page: 1 of 7 Issued: 4/18/2025 Version: 2.1,"EaCo Chem, Inc.",,,H316,P202; P264; P270; P273; P314; P363; P501,,Mild Scent,12,1.07,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/_sds-sizzle_rtu-1_1.pdf
SIZZLE PELS POWDER Page: 1 of 8 Issued: 4/18/25 Version: 2.1,"EaCo Chem, Inc.",,DANGER,H290; H314; H318; H402,P202; P234; P260; P264; P273; P280; P301; P303; P304; P305; P310; P330; P331; P338; P340; P351; P353; P361; P363; P376; P390; P391; P405; P406; P501,,Mild odorless,14,2.13,Not applicable,"1,390 Â°C (2,534 Â°F)","ca.1,260 g/l at 20 Â°C (68 Â°F)",,,,FR SDS available.,SDS/Eacochem/_sds_sizzle_pels_powder-1_1.pdf
"Sizzle Powder Add, Part -A Page: 1 of 6 Issued: 4/18/2025 Version: 2.1","EaCo Chem, Inc.",,,,,,No data available,8,,N o data available,No data available,Complete,,,,FR SDS available.,SDS/Eacochem/_sds-sizzle_powder-add-part-a-1_1.pdf
Smoke Melt Page: 1 of 8 Issued :4/18/2025 Version: 2.1,"EaCo Chem, Inc.",High-alkaline cleaner for heavy soil deposits; strips latex/enamel; fire smoke on masonry,DANGER,H290; H302; H305; H314; H318; H319; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P376; P390; P391; P404; P501,,Mild odor,13.5,1.12,N o data available,> 100 Â°C (> 212 Â°F),Complete,4:1â€“9:1 severe smoke; 15:1 light smoke; undilutedâ€“10:1 for brushing/oil stain removal,,,FR SDS available.,SDS/Eacochem/SDS_SMOKE_MELT.pdf
SOS 50 Page: 2 of 7 Issued: 4/18/2025 Version: 3.1,"EaCo Chem, Inc.",,WARNING,H290; H315; H320,P233; P234; P262; P264; P270; P280; P303; P305; P313; P315; P332; P337; P352; P353; P361; P363,UN3082,Mild o dor,,1.11,No data available,and  boiling range : > 100 Â°C (> 212 Â°F) - lit.,Fully Miscible,,,,FR SDS available.,SDS/Eacochem/SDS_SOS50.pdf
Stripper Cream Page: 2 of 8 Issued: 4/18/25 Version: 2.1,"EaCo Chem, Inc.",,DANGER,H290; H302; H305; H314; H318; H332; H373; H402,P202; P233; P234; P260; P262; P264; P270; P273; P280; P301; P303; P304; P305; P315; P330; P331; P338; P340; P351; P353; P361; P363; P390; P501,UN1760,Citrus odor,13.5,1.78,N o data available,> 100 Â°C (> 212 Â°F),Complete,,,,FR SDS available.,SDS/Eacochem/SDS_Stripper_Cream.pdf
Stripsol LO Page: 1 of 8 Issued: 4/18/2025 Version: 2.1,"EaCo Chem, Inc.",,WARNING,H227; H302; H305; H312; H315; H319; H332; H335; H360,P210; P233; P235; P261; P264; P270; P271; P280; P301; P303; P304; P305; P314; P315; P330; P331; P338; P340; P352; P362; P363; P403; P501,,solvent,,0.9,> 165 Â°F,212 Â°F,Soluble,,,,FR SDS available.,SDS/Eacochem/SDS_STRIPSOL_LO.pdf
